TITLE,PLOT,POSTER,RATING,PEOPLE_RATED,JAPANESE_NAME,EPISODES,STATUS,AIRED,DURATION,POPULARITY,RANKED,CERTIFICATE,MEMBERS,FAVOURITES,PRODUCERS,LICENSORS,GENRE,STUDIOS
Fullmetal Alchemist: Brotherhood,"After a horrific alchemy experiment goes wrong in the Elric household, brothers Edward and Alphonse are left in a catastrophic new reality. Ignoring the alchemical principle banning human transmutation, the boys attempted to bring their recently deceased mother back to life. Instead, they suffered brutal personal loss: Alphonse's body disintegrated while Edward lost a leg and then sacrificed an arm to keep Alphonse's soul in the physical realm by binding it to a hulking suit of armor. The brothers are rescued by their neighbor Pinako Rockbell and her granddaughter Winry. Known as a bio-mechanical engineering prodigy, Winry creates prosthetic limbs for Edward by utilizing ""automail,"" a tough, versatile metal used in robots and combat armor. After years of training, the Elric brothers set off on a quest to restore their bodies by locating the Philosopher's Stone—a powerful gem that allows an alchemist to defy the traditional laws of Equivalent Exchange. As Edward becomes an infamous alchemist and gains the nickname ""Fullmetal,"" the boys' journey embroils them in a growing conspiracy that threatens the fate of the world. [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1208/94745.jpg,9.10,"2,057,278 users",鋼の錬金術師 FULLMETAL ALCHEMIST,64,Finished Airing,"Apr 5, 2009 to Jul 4, 2010",24 min. per ep.,#3,,R - 17+ (violence & profanity),"3,241,036","220,820","Aniplex,Square Enix,Mainichi Broadcasting System,Studio Moriken","Funimation,Aniplex of America","Action,Adventure,Drama,Fantasy",Bones
Ashita no Joe 2,"Yabuki Joe is left downhearted and hopeless after a certain tragic event. In attempt to put the past behind him, Joe leaves the gym behind and begins wandering. On his travels he comes across the likes of Wolf Kanagushi and Goromaki Gondo, men who unintentionally fan the dying embers inside him, leading him to putting his wanderings to an end. His return home puts Joe back on the path to boxing, but unknown to himself and his trainer, he now suffers deep-set issues holding him back from fighting. In attempt to quell those issues, Carlos Rivera, a world renowned boxer is invited from Venezuela to help Joe recover.",https://cdn.myanimelist.net/images/anime/3/45028.jpg,8.72,"19,243 users",あしたのジョー２,47,Finished Airing,"Oct 13, 1980 to Aug 31, 1981",24 min. per ep.,#3010,,PG-13 - Teens 13 or older,"49,432","2,509",Annapuru,add some,"Drama,Sports",Tokyo Movie Shinsha
Tian Guan Cifu Er,Second season of Tian Guan Cifu.,https://cdn.myanimelist.net/images/anime/1280/138635.jpg,8.73,619 users,天官賜福 貳,Unknown,Currently Airing,"Oct 18, 2023 to ?",Unknown,#4398,,PG-13 - Teens 13 or older,"23,377",314,"bilibili,Red Dog Culture House",add some,"Action,Adventure,Drama,Fantasy",add some
Mushishi Zoku Shou 2nd Season,"Ghostly, primordial beings known as Mushi continue to cause mysterious changes in the lives of humans. The travelling Mushishi, Ginko, persists in trying to set right the strange and unsettling situations he encounters. Time loops, living shadows, and telepathy are among the overt effects of interference from Mushi, but more subtle symptoms that take years to be noticed also rouse Ginko's concern as he passes from village to village. Through circumstance, Ginko has become an arbiter, determining which Mushi are blessings and which are curses. But the lines that he seeks to draw are subjective. Some of his patients would rather exercise their new powers until they are utterly consumed by them; others desperately strive to rid themselves of afflictions which are in fact protecting their lives from devastation. Those who cross paths with Mushi must learn to accept seemingly impossible consequences for their actions, and heal wounds they did not know they had. Otherwise, they risk meeting with fates beyond their comprehension. [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/9/68095.jpg,8.73,"103,337 users",蟲師 続章,10,Finished Airing,"Oct 19, 2014 to Dec 21, 2014",23 min. per ep.,#894,,PG-13 - Teens 13 or older,"259,073","1,425","Aniplex,Kodansha,Delfi Sound",Aniplex of America,"Adventure,Mystery,Slice of Life,Supernatural",Artland
Kingdom 4th Season,"Following the conclusion of the large-scale coalition campaign, the entirety of China is in a state of economic recovery. The victor of the battle, the state of Qin, is no different. There, the political parties led by Ying Zheng and Buwei Lü continue their inner conflict. Having played the role of king in the coalition battle, Zheng has the trust of the people—but Lü is far from out of the fight. In 18 months, he plans to interrupt Zheng's coming-of-age ceremony. Meanwhile, a Zhao army numbering 20,000 troops has set out toward Qin. In the royal court, due to the lack of generals capable of responding to the incoming threat, Lü slyly suggests that Zheng take command. However, Cheng Jiao, Zheng's half-brother, volunteers instead. As they grew to trust each other during the coalition battle, Zheng now accepts Jiao as his replacement. However, the Zhao forces retreat a mere half-day after clashing with Jiao's army. With trouble quickly brewing in the shadows, the internal struggle of Qin is only complicated further. There are only two men Zheng feels he can rely on: Bi, a general who commands 30,000 men; and Xin, the leader of the Fei Xin force. [Written by MAL Rewrite] ",https://cdn.myanimelist.net/images/anime/1566/122794.jpg,8.74,"23,043 users",キングダム 第4シリーズ,26,Finished Airing,"Apr 10, 2022 to Oct 2, 2022",24 min. per ep.,#2800,,R - 17+ (violence & profanity),"57,088",979,"Avex Pictures,Shueisha,NHK Enterprises",add some,,"Pierrot,Studio Signpost"
Cowboy Bebop,"Crime is timeless. By the year 2071, humanity has expanded across the galaxy, filling the surface of other planets with settlements like those on Earth. These new societies are plagued by murder, drug use, and theft, and intergalactic outlaws are hunted by a growing number of tough bounty hunters. Spike Spiegel and Jet Black pursue criminals throughout space to make a humble living. Beneath his goofy and aloof demeanor, Spike is haunted by the weight of his violent past. Meanwhile, Jet manages his own troubled memories while taking care of Spike and the Bebop, their ship. The duo is joined by the beautiful con artist Faye Valentine, odd child Edward Wong Hau Pepelu Tivrusky IV, and Ein, a bioengineered Welsh Corgi. While developing bonds and working to catch a colorful cast of criminals, the Bebop crew's lives are disrupted by a menace from Spike's past. As a rival's maniacal plot continues to unravel, Spike must choose between life with his newfound family or revenge for his old wounds. [Written by MAL Rewrite] ",https://cdn.myanimelist.net/images/anime/4/19644.jpg,8.75,"934,771 users",カウボーイビバップ,26,Finished Airing,"Apr 3, 1998 to Apr 24, 1999",24 min. per ep.,#43,,R - 17+ (violence & profanity),"1,810,012","80,189",Bandai Visual,Funimation,"Action,Award Winning,Sci-Fi",Sunrise
"""Oshi no Ko""","In the entertainment world, celebrities often show exaggerated versions of themselves to the public, concealing their true thoughts and struggles beneath elaborate lies. Fans buy into these fabrications, showering their idols with undying love and support, until something breaks the illusion. Sixteen-year-old rising star Ai Hoshino of pop idol group B Komachi has the world captivated; however, when she announces a hiatus due to health concerns, the news causes many to become worried. As a huge fan of Ai, gynecologist Gorou Amemiya cheers her on from his countryside medical practice, wishing he could meet her in person one day. His wish comes true when Ai shows up at his hospital—not sick, but pregnant with twins! While the doctor promises Ai to safely deliver her children, he wonders if this encounter with the idol will forever change the nature of his relationship with her. [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1812/134736.jpg,8.76,"383,330 users",【推しの子】,11,Finished Airing,"Apr 12, 2023 to Jun 28, 2023",30 min. per ep.,#285,,PG-13 - Teens 13 or older,"677,546","25,732","Shueisha,CyberAgent,Kadokawa",Sentai Filmworks,"Drama,Supernatural",Doga Kobo
Vinland Saga,"Young Thorfinn grew up listening to the stories of old sailors that had traveled the ocean and reached the place of legend, Vinland. It's said to be warm and fertile, a place where there would be no need for fighting—not at all like the frozen village in Iceland where he was born, and certainly not like his current life as a mercenary. War is his home now. Though his father once told him, ""You have no enemies, nobody does. There is nobody who it's okay to hurt,"" as he grew, Thorfinn knew that nothing was further from the truth. The war between England and the Danes grows worse with each passing year. Death has become commonplace, and the viking mercenaries are loving every moment of it. Allying with either side will cause a massive swing in the balance of power, and the vikings are happy to make names for themselves and take any spoils they earn along the way. Among the chaos, Thorfinn must take his revenge and kill Askeladd, the man who murdered his father. The only paradise for the vikings, it seems, is the era of war and death that rages on. [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1500/103005.jpg,8.75,"811,965 users",ヴィンランド・サガ,24,Finished Airing,"Jul 8, 2019 to Dec 30, 2019",24 min. per ep.,#80,,R - 17+ (violence & profanity),"1,424,171","44,565","Production I.G,Dentsu,Kodansha,Twin Engine",Sentai Filmworks,"Action,Adventure,Drama",Wit Studio
Bleach: Sennen Kessen-hen - Ketsubetsu-tan,"After a brutal surprise attack by the forces of Quincy King Yhwach, the resident Reapers of the Soul Society lick their wounds and mourn their losses. Many of the surviving Soul Reaper captains train to battle without their Bankai, the ultimate technique wielded by the fiercest warriors. In the previous assault, Ichigo Kurosaki narrowly managed to help fend off Yhwach's fearsome wrath. However, to ultimately defeat his godly adversary and save his allies, Ichigo must now undergo severe training that will push him beyond his physical, emotional, and mental limits. Though Yhwach already holds the upper hand in this ongoing blood feud, he also successfully recruits Uryuu Ishida, Ichigo's close friend and rival, to be his successor. Yhwach strikes out once again at the weakened Soul Society, intent on finally obliterating his long-standing enemies. As Ichigo struggles to attain new power, the Soul Reaper captains fight for survival and borrowed time. [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1164/138058.jpg,8.76,"88,651 users",BLEACH 千年血戦篇-訣別譚-,13,Finished Airing,"Jul 8, 2023 to Sep 30, 2023",24 min. per ep.,#1087,,R - 17+ (violence & profanity),"212,675","3,445","TV Tokyo,Aniplex,Dentsu,Shueisha,Zack Promotion",VIZ Media,"Action,Adventure,Fantasy",Pierrot
Yojouhan Shinwa Taikei,"One autumn evening at a mysterious ramen stand behind the Shimogamo Shrine, a lonely third-year college student bumps into a man with an eggplant-shaped head who calls himself a god of matrimony. Meeting this man causes the student to reflect upon his past two years at college—two years bitterly spent trying to break up couples on campus with his only friend Ozu, a ghoulish-looking man seemingly set on making his life as miserable as possible. Resolving to make the most out of the rest of his college life, the student attempts to ask out the unsociable but kind-hearted underclassman Akashi, yet fails to follow through, prompting him to regret not living out his college life differently. As soon as this thought passes through his head, however, he is hurtled through time and space to the beginning of his years at college and given another chance to live his life. Surreal, artistic, and mind-bending, Yojouhan Shinwa Taikei chronicles the misadventures of a young man on a journey to make friends, find love, and experience the rose-colored campus life he always dreamed of. [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1633/123689.jpg,8.56,"141,467 users",四畳半神話大系,11,Finished Airing,"Apr 23, 2010 to Jul 2, 2010",22 min. per ep.,#496,,R - 17+ (violence & profanity),"438,279","17,945","Dentsu,Kadokawa Shoten,Fuji TV,TOHO,Asmik Ace,Tohokushinsha Film Corporation,Sony Music Entertainment,Fujipacific Music",Funimation,"Award Winning,Comedy,Mystery,Romance",Madhouse
